Order_ID,Order_Date,UF,Region,Category,Subcategory,Quantity,Subtotal,Discount,P_Service,Total,Payment_Method,Purchase_Status,Services,D_Forecast,D_Date
ORD000016,2024-04-26,PA,Norte,Casa e Decoração,Móveis,2,1482.94,0.0,40.42,1523.36,Cartão de Crédito,Cancelado,Standard,2024-05-04,
ORD000017,2024-04-29,AM,Norte,Eletrônicos,Fones de Ouvido,1,1610.94,0.05,51.91,1582.31,Cartão de Crédito,Cancelado,Standard,2024-05-09,
ORD000018,2024-05-22,PE,Nordeste,Casa e Decoração,Utensílios,1,162.8,0.0,33.71,196.51,Cartão de Crédito,Confirmado,Standard,2024-06-02,2024-06-02
ORD000019,2024-07-08,SC,Sul,Moda,Vestidos,1,216.34,0.05,39.5,245.03,Cartão de Crédito,Confirmado,Standard,2024-07-13,2024-07-13
ORD000020,2024-02-06,DF,Centro-Oeste,Moda,Acessórios,1,133.93,0.0,11.55,145.48,Boleto,Confirmado,Standard,2024-02-17,2024-02-15
ORD000021,2024-05-05,MG,Sudeste,Livros,Infantis,1,71.68,0.05,32.06,100.16,Cartão de Crédito,Confirmado,Standard,2024-05-19,2024-05-20
ORD000022,2024-05-18,MA,Nordeste,Esportes,Equipamentos,3,617.9,0.0,51.85,669.75,Cartão de Débito,Confirmado,Standard,2024-05-29,2024-05-29
ORD000023,2024-06-15,AM,Norte,Eletrônicos,Notebooks,2,7303.22,0.1,47.62,6620.52,PIX,Cancelado,Standard,2024-06-23,
ORD000024,2024-01-17,PA,Norte,Casa e Decoração,Iluminação,1,1807.25,0.0,38.88,1846.13,Cartão de Crédito,Confirmado,Standard,2024-01-23,2024-01-23
ORD000025,2024-05-17,RJ,Sudeste,Moda,Acessórios,1,343.38,0.05,19.76,345.97,PIX,Confirmado,Standard,2024-05-28,2024-06-01
ORD000026,2024-06-10,RS,Sul,Livros,Infantis,1,93.88,0.0,17.32,111.2,Cartão de Débito,Confirmado,Standard,2024-06-20,2024-06-26
ORD000027,2024-08-22,MG,Sudeste,Casa e Decoração,Utensílios,1,765.15,0.0,23.06,788.21,Cartão de Crédito,Confirmado,Scheduled,2024-08-25,2024-08-26
ORD000028,2024-05-06,ES,Sudeste,Esportes,Calçados,3,2271.39,0.1,10.46,2054.71,Cartão de Débito,Confirmado,Standard,2024-05-15,2024-05-16
ORD000029,2024-05-14,ES,Sudeste,Esportes,Acessórios,1,694.17,0.0,26.09,720.26,Cartão de Crédito,Confirmado,Scheduled,2024-05-23,2024-05-26
ORD000030,2024-10-25,BA,Nordeste,Casa e Decoração,Utensílios,1,1183.12,0.0,25.87,1208.99,Boleto,Cancelado,Scheduled,2024-10-28,
ORD000031,2024-03-11,CE,Nordeste,Livros,Ficção,1,130.33,0.05,24.56,148.37,Cartão de Crédito,Confirmado,Standard,2024-03-23,2024-04-06
ORD000032,2024-01-25,AM,Norte,Eletrônicos,Notebooks,1,523.33,0.0,28.47,551.8,Cartão de Crédito,Confirmado,Standard,2024-01-31,2024-01-31
ORD000033,2024-03-22,PA,Norte,Livros,HQs,1,107.36,0.0,57.67,165.03,PIX,Confirmado,Scheduled,2024-03-26,2024-03-28
ORD000034,2024-02-02,BA,Nordeste,Livros,HQs,1,89.82,0.05,50.64,135.97,Cartão de Crédito,Confirmado,Standard,2024-02-10,2024-02-10
ORD000035,2024-08-27,CE,Nordeste,Casa e Decoração,Têxtil,1,1311.12,0.15,25.6,1140.05,PIX,Confirmado,Standard,2024-09-10,2024-09-08
ORD000036,2024-01-06,GO,Centro-Oeste,Eletrônicos,Smartwatches,1,1329.5,0.0,12.92,1342.42,Cartão de Débito,Confirmado,Standard,2024-01-16,2024-01-20
ORD000037,2024-05-16,PA,Norte,Casa e Decoração,Móveis,1,1875.77,0.0,29.99,1905.76,PIX,Confirmado,Standard,2024-05-30,2024-05-28
ORD000038,2024-05-30,BA,Nordeste,Moda,Calçados,1,104.07,0.0,25.15,129.22,Cartão de Débito,Confirmado,Standard,2024-06-13,2024-06-14
ORD000039,2024-01-02,ES,Sudeste,Casa e Decoração,Têxtil,1,999.6,0.0,28.48,1028.08,Boleto,Confirmado,Standard,2024-01-16,2024-01-15
ORD000040,2024-04-01,CE,Nordeste,Eletrônicos,Tablets,1,2754.68,0.0,49.81,2804.49,Cartão de Débito,Cancelado,Standard,2024-04-09,
ORD000041,2024-09-16,DF,Centro-Oeste,Moda,Calças,1,308.96,0.0,29.01,337.97,Cartão de Débito,Confirmado,Standard,2024-09-21,2024-09-21
ORD000042,2024-07-10,PA,Norte,Moda,Acessórios,1,138.11,0.0,16.68,154.79,PIX,Confirmado,Standard,2024-07-22,2024-07-21
ORD000043,2024-09-28,MA,Nordeste,Eletrônicos,Smartwatches,2,1209.45,0.0,40.17,1249.62,Boleto,Cancelado,Standard,2024-10-06,
ORD000044,2024-06-14,PE,Nordeste,Eletrônicos,Smartphones,3,7142.27,0.0,35.17,7177.44,Boleto,Confirmado,Standard,2024-06-22,2024-06-22
ORD000045,2024-07-04,MA,Nordeste,Casa e Decoração,Utensílios,2,2406.07,0.0,39.51,2445.58,PIX,Confirmado,Standard,2024-07-09,2024-07-10
ORD000046,2024-01-30,RS,Sul,Esportes,Roupas Esportivas,1,675.05,0.1,10.33,617.87,Cartão de Débito,Confirmado,Standard,2024-02-10,2024-02-18
ORD000047,2024-02-13,ES,Sudeste,Livros,Ficção,1,94.55,0.0,19.86,114.41,PIX,Confirmado,Standard,2024-02-24,2024-02-27
ORD000048,2024-09-29,PA,Norte,Moda,Calças,1,91.04,0.0,30.22,121.26,PIX,Confirmado,Standard,2024-10-05,2024-10-18
ORD000049,2024-08-31,CE,Nordeste,Moda,Vestidos,1,392.68,0.0,40.34,433.02,Cartão de Crédito,Confirmado,Standard,2024-09-14,2024-09-12
ORD000050,2024-09-27,AM,Norte,Esportes,Acessórios,3,423.25,0.0,44.7,467.95,Cartão de Débito,Cancelado,Standard,2024-10-05,
ORD000051,2024-04-18,MA,Nordeste,Esportes,Equipamentos,1,332.16,0.0,40.5,372.66,Cartão de Crédito,Confirmado,Standard,2024-04-25,2024-04-24
ORD000052,2024-06-08,BA,Nordeste,Casa e Decoração,Iluminação,1,990.46,0.0,38.32,1028.78,PIX,Confirmado,Standard,2024-06-21,2024-06-19
ORD000053,2024-09-21,PE,Nordeste,Eletrônicos,Notebooks,1,873.01,0.0,102.56,975.57,Boleto,Confirmado,Same-Day,2024-09-21,2024-09-21
ORD000054,2024-04-25,RJ,Sudeste,Casa e Decoração,Móveis,1,1986.63,0.0,33.31,2019.94,Boleto,Confirmado,Scheduled,2024-05-04,2024-05-14
ORD000055,2024-10-28,CE,Nordeste,Moda,Acessórios,2,625.88,0.0,50.07,675.95,PIX,Confirmado,Standard,2024-11-06,2024-11-07
ORD000056,2024-04-22,SP,Sudeste,Eletrônicos,Smartphones,1,3410.82,0.0,20.81,3431.63,Cartão de Crédito,Confirmado,Standard,2024-04-27,2024-04-25
ORD000057,2024-04-27,RJ,Sudeste,Eletrônicos,Tablets,1,4162.08,0.0,43.79,4205.87,Cartão de Débito,Confirmado,Scheduled,2024-05-06,2024-05-20
ORD000058,2024-02-06,CE,Nordeste,Moda,Vestidos,2,939.46,0.0,27.68,967.14,PIX,Cancelado,Standard,2024-02-11,
ORD000059,2024-09-05,RS,Sul,Esportes,Equipamentos,1,351.25,0.0,58.45,409.7,Cartão de Crédito,Confirmado,Same-Day,2024-09-05,2024-09-05
ORD000060,2024-10-19,DF,Centro-Oeste,Livros,Não-ficção,2,54.66,0.05,54.87,106.79,Boleto,Confirmado,Scheduled,2024-10-26,2024-10-29
ORD000061,2024-08-30,PA,Norte,Livros,Não-ficção,1,52.16,0.0,47.08,99.24,Cartão de Crédito,Confirmado,Scheduled,2024-09-03,2024-09-04
ORD000062,2024-02-18,RJ,Sudeste,Livros,Técnicos,1,22.88,0.0,45.39,68.27,PIX,Cancelado,Same-Day,2024-02-18,
ORD000063,2024-08-04,BA,Nordeste,Livros,Ficção,1,31.49,0.0,29.4,60.89,PIX,Confirmado,Standard,2024-08-11,2024-08-17
ORD000064,2024-02-20,SP,Sudeste,Livros,Técnicos,1,65.58,0.0,37.12,102.7,Cartão de Crédito,Confirmado,Standard,2024-03-03,2024-03-14
ORD000065,2024-02-25,RS,Sul,Moda,Calças,1,285.62,0.05,35.26,306.6,PIX,Confirmado,Standard,2024-03-05,2024-03-14
ORD000066,2024-10-01,PE,Nordeste,Moda,Calçados,1,206.34,0.0,33.95,240.29,Cartão de Crédito,Confirmado,Standard,2024-10-11,2024-10-12
ORD000067,2024-04-03,PR,Sul,Livros,Não-ficção,1,43.64,0.1,30.03,69.31,Cartão de Crédito,Confirmado,Standard,2024-04-10,2024-04-12
ORD000068,2024-02-08,PE,Nordeste,Esportes,Roupas Esportivas,1,280.59,0.0,30.97,311.56,Cartão de Crédito,Confirmado,Standard,2024-02-22,2024-02-20
ORD000069,2024-01-26,GO,Centro-Oeste,Esportes,Roupas Esportivas,1,146.45,0.0,16.18,162.63,Cartão de Crédito,Confirmado,Standard,2024-02-03,2024-02-04
ORD000070,2024-02-17,MA,Nordeste,Moda,Calças,3,956.33,0.0,30.24,986.57,PIX,Confirmado,Scheduled,2024-02-21,2024-02-23
ORD000071,2024-07-27,PE,Nordeste,Livros,Não-ficção,1,39.21,0.0,87.73,126.94,Cartão de Crédito,Confirmado,Same-Day,2024-07-27,2024-07-27
ORD000072,2024-07-24,MA,Nordeste,Eletrônicos,Notebooks,1,1591.12,0.0,25.56,1616.68,Cartão de Crédito,Confirmado,Standard,2024-08-06,2024-08-10
ORD000073,2024-07-13,SP,Sudeste,Livros,Técnicos,1,81.62,0.0,27.53,109.15,PIX,Confirmado,Standard,2024-07-25,2024-07-25
ORD000074,2024-08-20,PR,Sul,Livros,HQs,1,69.24,0.1,17.33,79.65,Cartão de Crédito,Confirmado,Standard,2024-09-02,2024-09-01
ORD000075,2024-09-06,MG,Sudeste,Moda,Vestidos,1,151.4,0.0,18.08,169.48,PIX,Confirmado,Scheduled,2024-09-09,2024-09-09
ORD000076,2024-04-21,SP,Sudeste,Esportes,Calçados,1,93.13,0.2,35.16,109.67,Cartão de Débito,Confirmado,Scheduled,2024-04-29,2024-04-30
ORD000077,2024-02-01,ES,Sudeste,Casa e Decoração,Móveis,2,2947.01,0.05,24.3,2823.95,PIX,Confirmado,Standard,2024-02-15,2024-02-15
ORD000078,2024-01-26,DF,Centro-Oeste,Livros,HQs,1,45.94,0.0,75.23,121.17,Cartão de Crédito,Confirmado,Same-Day,2024-01-26,2024-02-02
ORD000079,2024-09-28,MG,Sudeste,Eletrônicos,Smartwatches,1,733.21,0.0,39.7,772.91,Cartão de Crédito,Confirmado,Standard,2024-10-03,2024-10-01
ORD000080,2024-02-11,AM,Norte,Moda,Camisetas,1,392.1,0.0,26.61,418.71,Cartão de Débito,Cancelado,Standard,2024-02-17,
ORD000081,2024-10-31,RJ,Sudeste,Moda,Calçados,1,105.93,0.1,11.99,107.33,PIX,Confirmado,Standard,2024-11-12,2024-11-13
ORD000082,2024-03-02,MA,Nordeste,Esportes,Equipamentos,1,225.17,0.0,82.24,307.41,Boleto,Confirmado,Same-Day,2024-03-02,2024-03-03
ORD000083,2024-10-23,DF,Centro-Oeste,Eletrônicos,Smartwatches,1,3573.42,0.05,40.53,3435.28,Boleto,Confirmado,Scheduled,2024-10-26,2024-10-24
ORD000084,2024-02-11,BA,Nordeste,Esportes,Calçados,1,361.87,0.0,34.17,396.04,Cartão de Crédito,Confirmado,Standard,2024-02-18,2024-02-19
ORD000085,2024-09-24,SC,Sul,Casa e Decoração,Utensílios,2,833.58,0.0,58.66,892.24,Cartão de Débito,Confirmado,Same-Day,2024-09-24,2024-09-27
ORD000086,2024-06-09,RS,Sul,Casa e Decoração,Iluminação,1,1513.5,0.0,73.84,1587.34,Cartão de Crédito,Confirmado,Same-Day,2024-06-09,2024-06-10
ORD000087,2024-03-08,GO,Centro-Oeste,Casa e Decoração,Iluminação,1,968.3,0.0,27.05,995.35,Cartão de Crédito,Confirmado,Standard,2024-03-15,2024-03-16
ORD000088,2024-06-10,MA,Nordeste,Eletrônicos,Smartphones,1,3722.81,0.05,35.08,3571.75,Cartão de Crédito,Confirmado,Scheduled,2024-06-14,2024-06-28
ORD000089,2024-08-22,DF,Centro-Oeste,Esportes,Roupas Esportivas,1,502.09,0.0,39.78,541.87,Cartão de Débito,Confirmado,Standard,2024-08-30,2024-08-31
ORD000090,2024-02-07,CE,Nordeste,Moda,Acessórios,1,368.26,0.0,29.54,397.8,PIX,Cancelado,Standard,2024-02-17,
ORD000091,2024-05-15,MG,Sudeste,Casa e Decoração,Móveis,1,1830.3,0.0,15.59,1845.89,PIX,Confirmado,Standard,2024-05-25,2024-05-26
ORD000092,2024-05-05,SC,Sul,Casa e Decoração,Utensílios,1,1255.0,0.05,33.63,1225.88,Boleto,Confirmado,Standard,2024-05-13,2024-05-13
ORD000093,2024-08-12,AM,Norte,Esportes,Suplementos,1,744.53,0.0,46.21,790.74,Cartão de Crédito,Confirmado,Scheduled,2024-08-20,2024-08-20
ORD000094,2024-09-27,SP,Sudeste,Esportes,Suplementos,1,199.17,0.0,43.88,243.05,Cartão de Crédito,Confirmado,Same-Day,2024-09-27,2024-09-27
ORD000095,2024-02-23,MA,Nordeste,Moda,Vestidos,1,482.48,0.0,51.88,534.36,Boleto,Confirmado,Standard,2024-03-05,2024-03-06
ORD000096,2024-02-29,MA,Nordeste,Eletrônicos,Smartwatches,1,4541.24,0.0,31.41,4572.65,Boleto,Confirmado,Standard,2024-03-07,2024-03-06
ORD000097,2024-03-20,PR,Sul,Casa e Decoração,Têxtil,1,1115.47,0.0,35.15,1150.62,Cartão de Crédito,Confirmado,Same-Day,2024-03-20,2024-03-22
ORD000098,2024-04-17,ES,Sudeste,Casa e Decoração,Utensílios,1,614.41,0.0,14.68,629.09,PIX,Confirmado,Standard,2024-04-22,2024-04-22
ORD000099,2024-05-15,CE,Nordeste,Livros,Técnicos,1,50.04,0.0,44.2,94.24,Cartão de Crédito,Confirmado,Standard,2024-05-27,2024-05-28
ORD000100,2024-01-27,RJ,Sudeste,Livros,Técnicos,1,148.53,0.05,48.05,189.16,Cartão de Crédito,Confirmado,Scheduled,2024-02-05,2024-02-08
ORD000101,2024-01-23,SP,Sudeste,Casa e Decoração,Utensílios,1,1303.16,0.05,36.29,1274.29,Boleto,Confirmado,Standard,2024-01-28,2024-02-01
ORD000102,2024-05-14,MG,Sudeste,Livros,HQs,2,127.33,0.0,34.92,162.25,Cartão de Crédito,Confirmado,Standard,2024-05-27,2024-05-28
ORD000103,2024-08-06,CE,Nordeste,Eletrônicos,Smartphones,3,4463.39,0.05,35.07,4275.29,Cartão de Débito,Confirmado,Standard,2024-08-11,2024-08-09
ORD000104,2024-02-08,MA,Nordeste,Moda,Acessórios,1,170.9,0.0,18.43,189.33,PIX,Cancelado,Standard,2024-02-22,
ORD000105,2024-01-19,AM,Norte,Casa e Decoração,Têxtil,1,1811.09,0.0,73.43,1884.52,PIX,Confirmado,Same-Day,2024-01-19,2024-01-19
ORD000106,2024-10-09,MG,Sudeste,Livros,Não-ficção,2,209.37,0.0,14.11,223.48,Cartão de Débito,Cancelado,Standard,2024-10-21,
ORD000107,2024-01-22,PR,Sul,Casa e Decoração,Móveis,1,576.39,0.0,35.14,611.53,Cartão de Crédito,Confirmado,Standard,2024-01-28,2024-01-28
ORD000108,2024-07-02,RS,Sul,Moda,Camisetas,1,132.97,0.05,35.11,161.43,Cartão de Crédito,Confirmado,Standard,2024-07-13,2024-07-12
ORD000109,2024-06-30,PA,Norte,Esportes,Acessórios,1,422.76,0.1,52.97,433.45,Cartão de Crédito,Confirmado,Same-Day,2024-06-30,2024-06-30
ORD000110,2024-03-20,MA,Nordeste,Moda,Calças,3,1292.65,0.0,31.5,1324.15,Cartão de Crédito,Confirmado,Standard,2024-03-25,2024-03-25
ORD000111,2024-03-31,MA,Nordeste,Livros,Ficção,1,97.78,0.0,13.09,110.87,Cartão de Débito,Confirmado,Standard,2024-04-07,2024-04-07
ORD000112,2024-04-01,ES,Sudeste,Casa e Decoração,Iluminação,1,1842.9,0.15,15.55,1582.01,Boleto,Cancelado,Standard,2024-04-13,
ORD000113,2024-05-07,PR,Sul,Moda,Camisetas,1,337.53,0.05,39.42,360.07,Cartão de Débito,Confirmado,Standard,2024-05-21,2024-05-20
ORD000114,2024-07-14,AM,Norte,Eletrônicos,Fones de Ouvido,1,677.42,0.1,35.15,644.83,Cartão de Débito,Confirmado,Standard,2024-07-23,2024-07-26
ORD000115,2024-04-23,RS,Sul,Livros,Técnicos,3,420.51,0.1,35.86,414.32,PIX,Confirmado,Standard,2024-05-07,2024-05-06
ORD000116,2024-06-05,AM,Norte,Moda,Calças,1,318.32,0.0,40.16,358.48,Cartão de Crédito,Confirmado,Standard,2024-06-16,2024-06-14
ORD000117,2024-01-13,GO,Centro-Oeste,Moda,Calçados,1,292.28,0.05,25.08,302.75,PIX,Confirmado,Standard,2024-01-20,2024-01-22
ORD000118,2024-06-17,PR,Sul,Eletrônicos,Tablets,1,501.07,0.0,17.45,518.52,Cartão de Crédito,Confirmado,Scheduled,2024-06-20,2024-06-18
ORD000119,2024-06-28,GO,Centro-Oeste,Esportes,Acessórios,1,425.44,0.0,14.03,439.47,Cartão de Crédito,Confirmado,Standard,2024-07-03,2024-07-03
ORD000120,2024-10-01,SC,Sul,Eletrônicos,Smartphones,1,2602.9,0.1,59.46,2402.07,Cartão de Crédito,Confirmado,Same-Day,2024-10-01,2024-10-01
ORD000121,2024-05-13,MG,Sudeste,Esportes,Suplementos,1,356.72,0.0,42.52,399.24,Cartão de Crédito,Confirmado,Scheduled,2024-05-22,2024-05-28
ORD000122,2024-01-20,RJ,Sudeste,Esportes,Acessórios,3,600.79,0.0,37.74,6385.299999999999,Boleto,Confirmado,Scheduled,2024-01-24,2024-01-22
ORD000123,2024-06-25,ES,Sudeste,Casa e Decoração,Iluminação,1,518.92,0.05,11.74,504.72,Cartão de Débito,Cancelado,Standard,2024-07-02,
ORD000124,2024-09-18,RJ,Sudeste,Livros,HQs,1,97.65,0.0,24.74,122.39,Cartão de Débito,Cancelado,Standard,2024-09-25,
ORD000125,2024-04-07,PR,Sul,Eletrônicos,Fones de Ouvido,1,1509.98,0.0,27.4,1537.38,Cartão de Crédito,Confirmado,Standard,2024-04-14,2024-04-12
ORD000126,2024-01-01,CE,Nordeste,Esportes,Equipamentos,3,2159.7,0.1,81.59,2025.32,Boleto,Confirmado,Same-Day,2024-01-01,2024-01-01
ORD000127,2024-07-05,BA,Nordeste,Eletrônicos,Tablets,1,522.87,0.0,50.52,573.39,Cartão de Crédito,Confirmado,Standard,2024-07-10,2024-07-08
ORD000128,2024-06-09,GO,Centro-Oeste,Eletrônicos,Tablets,1,2662.64,0.05,33.37,2562.88,Boleto,Confirmado,Standard,2024-06-19,2024-06-20
ORD000129,2024-09-16,PR,Sul,Livros,Técnicos,2,211.2,0.1,71.85,261.93,PIX,Confirmado,Same-Day,2024-09-16,2024-09-16
ORD000130,2024-07-25,ES,Sudeste,Casa e Decoração,Têxtil,2,919.04,0.15,36.37,817.56,Cartão de Crédito,Confirmado,Standard,2024-08-03,2024-08-06
ORD000131,2024-03-06,RS,Sul,Livros,Infantis,1,20.15,0.05,15.79,34.93,Cartão de Crédito,Confirmado,Standard,2024-03-19,2024-03-19
ORD000132,2024-03-30,DF,Centro-Oeste,Esportes,Suplementos,1,351.22,0.05,20.35,354.01,Cartão de Crédito,Confirmado,Standard,2024-04-05,2024-04-06
ORD000133,2024-07-26,CE,Nordeste,Eletrônicos,Tablets,1,1307.74,0.05,43.06,1285.41,Cartão de Débito,Confirmado,Standard,2024-08-05,2024-08-07
ORD000134,2024-05-26,RS,Sul,Livros,HQs,1,64.96,0.0,49.07,114.03,Cartão de Débito,Confirmado,Scheduled,2024-05-31,2024-06-01
ORD000135,2024-06-13,PE,Nordeste,Livros,Infantis,1,23.2,0.0,43.05,66.25,PIX,Confirmado,Standard,2024-06-19,2024-06-24
ORD000136,2024-04-19,CE,Nordeste,Livros,Não-ficção,2,66.57,0.0,58.39,124.96,PIX,Confirmado,Same-Day,2024-04-19,2024-04-19
ORD000137,2024-02-13,PR,Sul,Esportes,Calçados,3,830.24,0.0,38.31,868.55,Cartão de Crédito,Confirmado,Standard,2024-02-23,2024-02-24
ORD000138,2024-06-20,RJ,Sudeste,Moda,Vestidos,1,492.79,0.1,16.39,459.9,Cartão de Crédito,Confirmado,Standard,2024-06-26,2024-06-30
ORD000139,2024-04-25,PA,Norte,Moda,Calças,1,294.45,0.0,18.99,313.44,Cartão de Crédito,Confirmado,Standard,2024-05-06,2024-05-07
ORD000140,2024-01-13,SP,Sudeste,Moda,Calçados,2,364.75,0.15,23.86,333.9,Cartão de Crédito,Confirmado,Standard,2024-01-21,2024-01-20
ORD000141,2024-02-07,PE,Nordeste,Livros,HQs,1,49.32,0.0,36.02,85.34,Cartão de Crédito,Cancelado,Standard,2024-02-12,
ORD000142,2024-04-09,ES,Sudeste,Livros,Infantis,1,21.51,0.0,28.0,49.51,Cartão de Crédito,Confirmado,Standard,2024-04-14,2024-04-27
ORD000143,2024-07-23,RS,Sul,Moda,Camisetas,1,67.83,0.0,39.6,107.43,Cartão de Crédito,Confirmado,Standard,2024-08-02,2024-07-31
ORD000144,2024-02-24,PA,Norte,Livros,Não-ficção,1,92.75,0.0,16.43,109.18,Cartão de Crédito,Confirmado,Standard,2024-03-03,2024-03-03
ORD000145,2024-03-31,PA,Norte,Esportes,Acessórios,1,175.56,0.0,52.01,227.57,Cartão de Crédito,Confirmado,Same-Day,2024-03-31,2024-03-31
ORD000146,2024-01-26,CE,Nordeste,Moda,Camisetas,1,453.3,0.0,24.65,477.95,Cartão de Débito,Cancelado,Standard,2024-02-03,
ORD000147,2024-08-21,MG,Sudeste,Livros,HQs,2,128.26,0.0,34.17,162.43,PIX,Confirmado,Scheduled,2024-08-26,2024-08-27
ORD000148,2024-10-13,DF,Centro-Oeste,Casa e Decoração,Iluminação,1,1490.02,0.0,16.26,1506.28,PIX,Confirmado,Standard,2024-10-24,2024-10-22
ORD000149,2024-09-15,BA,Nordeste,Esportes,Acessórios,1,211.12,0.0,34.66,245.78,PIX,Confirmado,Standard,2024-09-27,2024-10-04
ORD000150,2024-03-22,ES,Sudeste,Livros,Infantis,1,30.6,0.0,16.11,46.71,PIX,Confirmado,Standard,2024-03-31,2024-04-01
ORD000151,2024-05-12,PA,Norte,Moda,Vestidos,1,430.81,0.05,71.81,481.08,Boleto,Confirmado,Same-Day,2024-05-12,2024-05-12
ORD000152,2024-09-23,PE,Nordeste,Moda,Vestidos,1,376.37,0.1,38.69,377.42,Cartão de Crédito,Confirmado,Scheduled,2024-10-01,2024-10-01
ORD000153,2024-08-13,RJ,Sudeste,Casa e Decoração,Utensílios,1,1283.64,0.05,31.47,1250.92,Cartão de Débito,Confirmado,Standard,2024-08-19,2024-08-17
ORD000154,2024-05-19,SC,Sul,Casa e Decoração,Têxtil,1,231.35,0.0,27.79,259.14,Boleto,Confirmado,Standard,2024-05-30,2024-05-30
ORD000155,2024-02-11,MG,Sudeste,Moda,Calças,1,190.47,0.1,27.65,199.07,Boleto,Confirmado,Standard,2024-02-22,2024-02-22
ORD000156,2024-07-15,ES,Sudeste,Moda,Calças,1,447.67,0.0,30.08,477.75,Cartão de Crédito,Confirmado,Standard,2024-07-27,2024-07-25
ORD000157,2024-02-02,BA,Nordeste,Livros,Técnicos,1,52.83,0.0,26.91,79.74,Boleto,Confirmado,Standard,2024-02-14,2024-02-18
ORD000158,2024-10-04,PE,Nordeste,Livros,Ficção,1,132.35,0.0,51.48,183.83,Cartão de Crédito,Confirmado,Standard,2024-10-18,2024-10-18
ORD000159,2024-04-15,AM,Norte,Livros,Infantis,1,49.21,0.0,35.8,85.01,PIX,Confirmado,Standard,2024-04-21,2024-04-27
ORD000160,2024-10-26,ES,Sudeste,Eletrônicos,Smartwatches,3,5862.26,0.0,25.65,5887.91,Cartão de Crédito,Confirmado,Standard,2024-11-06,2024-11-04
ORD000161,2024-07-13,PE,Nordeste,Eletrônicos,Tablets,2,2291.88,0.05,20.35,2197.64,PIX,Confirmado,Standard,2024-07-23,2024-07-25
ORD000162,2024-06-01,PA,Norte,Livros,Infantis,1,53.19,0.15,13.68,58.89,Cartão de Crédito,Confirmado,Standard,2024-06-13,2024-06-16
ORD000163,2024-10-02,ES,Sudeste,Esportes,Calçados,1,750.28,0.0,29.77,780.05,Cartão de Crédito,Confirmado,Standard,2024-10-16,2024-10-15
ORD000164,2024-04-22,PE,Nordeste,Moda,Vestidos,1,499.74,0.15,46.96,471.74,PIX,Confirmado,Standard,2024-05-05,2024-05-04
ORD000165,2024-08-11,PE,Nordeste,Eletrônicos,Fones de Ouvido,1,2318.63,0.0,88.55,2407.18,PIX,Confirmado,Same-Day,2024-08-11,2024-08-15
ORD000166,2024-06-21,GO,Centro-Oeste,Livros,Não-ficção,1,58.59,0.0,31.12,89.71,Boleto,Confirmado,Standard,2024-07-04,2024-07-05
